ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
208;Uomo;45-54 anni;nord-ovest;da 10001 a 30000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;in nessuna area politica;Italiana;Si';Si, abbastanza;No, sarei contrario;mai;periferia;agiatamente;Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,21
209;Uomo;oltre 64 anni;isole;da 100001 a 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a destra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;la domenica;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,28
210;Uomo;55-64 anni;sud;fino a 5000 abitanti;no laurea;coppia con figli;artigiano/familiare coadiuvante;a centro destra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;la domenica;periferia;avverto difficolta';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,77
211;Uomo;45-54 anni;centro;da 10001 a 30000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a sinistra;Italiana;Si';Si, abbastanza;No, sarei molto contrario;mai;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,75
212;Uomo;45-54 anni;centro;da 10001 a 30000 abitanti;no laurea;vive con i genitori;altro lavoratore dipendente;al centro;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;non sono credente;citta' medie;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;non credente;0,5
213;Uomo;45-54 anni;isole;da 10001 a 30000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a centro destra;Italiana;Si';Si, abbastanza;No, sarei contrario;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,6
214;Uomo;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei contrario;No, sarei molto contrario;in occasione delle principali feste;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,74
215;Uomo;55-64 anni;isole;fino a 5000 abitanti;no laurea;genitore solo, con figli;impiegato;a sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;preferisco non rispondere;piccoli centri;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;;0,96
216;Donna;oltre 64 anni;sud;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Non saprei;No, sarei molto contrario;preferisco non rispondere;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;;0,18
217;Donna;oltre 64 anni;nord-est;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;Si, molto;alcune volte l'anno;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,76
218;Donna;oltre 64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;casalinga;in nessuna area politica;Italiana;Si';Si, molto;Si, abbastanza;ogni giorno;citta' medie;con tranquillita';Non occupato;Casalinghe;;Bassa;SILENT;Cattolico praticante (fino a 1 volta al mese);0,5
219;Uomo;45-54 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia senza figli;disoccupato (ex-occupato);a destra;Italiana;Si';No, sarei contrario;No, sarei molto contrario;la domenica;piccoli centri;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2,54
220;Uomo;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';Si, molto;No, sarei contrario;una volta al mese;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,77
221;Uomo;45-54 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;in nessuna area politica;Italiana;Si';No, sarei contrario;No, sarei molto contrario;preferisco non rispondere;periferia;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;;0,22
222;Donna;oltre 64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;casalinga;a centro destra;Italiana;No;No, sarei contrario;No, sarei molto contrario;ogni giorno;periferia;avverto difficolta';Non occupato;Casalinghe;;Media;SILENT;Cattolico praticante (fino a 1 volta al mese);1,39
223;Donna;oltre 64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;libero professionista;a sinistra;Italiana;Non saprei;Si, abbastanza;Si, abbastanza;non sono credente;altro;con tranquillita';Occupato;Autonomi;;Alta;BABY BOOMERS;non credente;0,18
224;Uomo;35-44 anni;centro;da 30001 a 100000 abitanti;laurea;vive da solo 35-54 anni;altro lavoratore autonomo/agente di commercio/rappresentante;in nessuna area politica;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;mai;altro;arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Alta;MILLENNIALS;Cattolico non praticante;0,22
225;Donna;45-54 anni;sud;oltre 250000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;preferisco non rispondere;Italiana;Non saprei;No, sarei molto contrario;No, sarei molto contrario;in occasione delle principali feste;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,77
226;Uomo;55-64 anni;nord-est;da 10001 a 30000 abitanti;laurea;coppia con figli;altro lavoratore autonomo/agente di commercio/rappresentante;a destra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;non sono credente;citta' medie;avverto difficolta';Occupato;Autonomi;;Alta;BABY BOOMERS;non credente;0,56
227;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Privato;Alta;SILENT;Cattolico non praticante;0,22
228;Uomo;55-64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;No, sarei contrario;alcune volte l'anno;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;0,76
229;Uomo;45-54 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;impiegato;a centro sinistra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;la domenica;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,7
230;Donna;oltre 64 anni;nord-ovest;fino a 5000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;la domenica;piccoli centri;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,21
231;Uomo;45-54 anni;nord-est;da 5001 a 10000 abitanti;no laurea;vive con i genitori;impiegato;a sinistra;Italiana;Non saprei;No, sarei molto contrario;No, sarei molto contrario;mai;piccoli centri;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,7
232;Donna;oltre 64 anni;sud;da 30001 a 100000 abitanti;laurea;genitore solo, con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;la domenica;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,18
233;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;No, sarei molto contrario;non sono credente;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;non credente;0,25
234;Uomo;55-64 anni;isole;da 10001 a 30000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;a destra;Italiana;Si';Si, abbastanza;No, sarei molto contrario;in occasione delle principali feste;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,43
235;Uomo;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;alcune volte l'anno;citta' medie;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,82
236;Uomo;45-54 anni;isole;oltre 250000 abitanti;laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,6
237;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;No, sarei molto contrario;la domenica;periferia;avverto difficolta';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,63
238;Donna;oltre 64 anni;nord-est;fino a 5000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Non saprei;Si, abbastanza;Non saprei;2/3 volte alla settimana;periferia;avverto difficolta';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,47
239;Uomo;oltre 64 anni;nord-ovest;fino a 5000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;non sono credente;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;non credente;1,65
240;Uomo;oltre 64 anni;sud;oltre 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;No, sarei contrario;la domenica;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,72
241;Donna;35-44 anni;centro;da 5001 a 10000 abitanti;laurea;vive con i genitori;studente/scolaro;a sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;sono di un'altra religione;piccoli centri;avverto difficolta';Non occupato;Studenti;;Alta;MILLENNIALS;altra religione;0,31
242;Uomo;oltre 64 anni;isole;da 100001 a 250000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;Si, molto;2/3 volte alla settimana;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,21
243;Uomo;35-44 anni;nord-ovest;da 30001 a 100000 abitanti;laurea;vive da solo 35-54 anni;altro lavoratore dipendente;a centro sinistra;Italiana;Non saprei;No, sarei contrario;No, sarei molto contrario;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico non praticante;0,32
244;Donna;35-44 anni;sud;da 5001 a 10000 abitanti;no laurea;coppia con figli;casalinga;preferisco non rispondere;Italiana;No;No, sarei contrario;No, sarei contrario;alcune volte l'anno;piccoli centri;avverto difficolta';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico non praticante;0,68
245;Uomo;55-64 anni;centro;da 10001 a 30000 abitanti;laurea;coppia con figli;commerciante;a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;alcune volte l'anno;periferia;avverto difficolta';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico non praticante;0,11
246;Uomo;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';No, sarei contrario;No, sarei contrario;non sono credente;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;non credente;0,7
247;Uomo;35-44 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia senza figli;agricoltore;a centro destra;Italiana;No;Si, abbastanza;No, sarei contrario;la domenica;citta' medie;avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2,42
248;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;altro lavoratore autonomo/agente di commercio/rappresentante;a centro sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;mai;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Media;SILENT;Cattolico non praticante;0,74
249;Uomo;45-54 anni;sud;da 5001 a 10000 abitanti;laurea;genitore solo, con figli;impiegato;a sinistra;Italiana;Si';Si, molto;No, sarei contrario;non sono credente;piccoli centri;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;non credente;0,24
250;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;la domenica;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Media;SILENT;Cattolico praticante (fino a 1 volta al mese);2,72
251;Uomo;35-44 anni;nord-ovest;oltre 250000 abitanti;laurea;vive da solo 35-54 anni;imprenditore;a centro sinistra;Italiana;No;Si, molto;Si, molto;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Alta;GENERAZIONE X;non credente;0,32
252;Uomo;oltre 64 anni;sud;oltre 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;mai;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,72
253;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a destra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;la domenica;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,58
254;Uomo;oltre 64 anni;isole;da 5001 a 10000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;No, sarei contrario;la domenica;altro;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,63
255;Uomo;55-64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';Non saprei;Non saprei;la domenica;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,01
256;Uomo;oltre 64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';Si, abbastanza;No, sarei contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,23
257;Donna;45-54 anni;nord-ovest;oltre 250000 abitanti;no laurea;vive da solo 35-54 anni;commerciante;a sinistra;Italiana;Si';Si, molto;No, sarei contrario;preferisco non rispondere;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;;2
258;Donna;25-34 anni;sud;da 100001 a 250000 abitanti;laurea;vive con i genitori;altro lavoratore dipendente;a centro sinistra;Italiana;Si';No, sarei contrario;No, sarei contrario;una volta al mese;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);0,16
259;Uomo;35-44 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;dirigente;a sinistra;Italiana;Si';Si, abbastanza;No, sarei molto contrario;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;0,6
260;Donna;oltre 64 anni;centro;da 100001 a 250000 abitanti;laurea;genitore solo, con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;No;No, sarei contrario;No, sarei molto contrario;in occasione delle principali feste;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,46
261;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Non saprei;Non saprei;Non saprei;la domenica;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,39
262;Donna;oltre 64 anni;centro;da 5001 a 10000 abitanti;no laurea;coppia senza figli;impiegato;a destra;Italiana;No;No, sarei contrario;No, sarei contrario;mai;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,57
263;Uomo;35-44 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia con figli;altro lavoratore autonomo/agente di commercio/rappresentante;a destra;Italiana;Si';Si, abbastanza;Si, abbastanza;non sono credente;citta' medie;avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;non credente;1,54
264;Donna;45-54 anni;centro;da 100001 a 250000 abitanti;laurea;vive da solo 35-54 anni;impiegato;a sinistra;Italiana;No;Si, abbastanza;No, sarei molto contrario;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;0,24
265;Donna;35-44 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia con figli;disoccupato (ex-occupato);in nessuna area politica;Italiana;Si';Non saprei;Non saprei;la domenica;piccoli centri;mi sento povero e non arrivo mai a fine mese;Non occupato;Disoccupati;Privato;Media;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);1,35
266;Uomo;45-54 anni;nord-ovest;oltre 250000 abitanti;laurea;"genitore solo, vive con figlio/figli e genitori&nbsp;";quadro/direttivo/tecnico;in nessuna area politica;Italiana;Non saprei;Non saprei;No, sarei molto contrario;una volta al mese;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,85
267;Donna;45-54 anni;sud;fino a 5000 abitanti;no laurea;vive con i genitori;impiegato;in nessuna area politica;Italiana;Si';No, sarei contrario;No, sarei contrario;una volta al mese;altro;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2,32
268;Uomo;oltre 64 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a destra;Italiana;Si';Si, abbastanza;No, sarei contrario;mai;citta' medie;avverto difficolta';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;0,67
269;Donna;35-44 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;in nessuna area politica;Italiana;Si';Si, molto;No, sarei molto contrario;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,58
270;Donna;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;casalinga;a centro sinistra;Italiana;Si';Si, abbastanza;Non saprei;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico non praticante;0,71
271;Donna;oltre 64 anni;isole;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Si, abbastanza;No, sarei contrario;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,32
272;Donna;45-54 anni;isole;fino a 5000 abitanti;no laurea;coppia con figli;insegnante di scuola media, elementare e materna;a centro sinistra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;la domenica;piccoli centri;con tranquillita';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,43
273;Uomo;55-64 anni;sud;oltre 250000 abitanti;no laurea;coppia con figli;imprenditore;a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;mai;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;0,81
274;Uomo;35-44 anni;nord-est;da 100001 a 250000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a centro sinistra;Italiana;No;Non saprei;Non saprei;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,42
275;Uomo;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;No;Non saprei;No, sarei contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico non praticante;1,04
276;Uomo;55-64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;vive da solo +55 anni;operaio;in nessuna area politica;Italiana;Si';Si, molto;No, sarei contrario;una volta al mese;piccoli centri;mi sento povero e non arrivo mai a fine mese;Occupato;Operai;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,9
277;Donna;45-54 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a centro destra;Italiana;Non saprei;Si, molto;Non saprei;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;0,49
278;Uomo;45-54 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;operaio;a destra;Italiana;Si';Si, abbastanza;Si, abbastanza;la domenica;altro;con tranquillita';Occupato;Operai;Privato;Bassa;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,55
279;Uomo;55-64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;libero professionista;a centro sinistra;Italiana;Non saprei;No, sarei molto contrario;No, sarei contrario;alcune volte l'anno;piccoli centri;avverto difficolta';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;0,76
280;Uomo;55-64 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a centro sinistra;ho la doppia cittadinanza (italiana e di un altro Paese);Si';Si, molto;Si, abbastanza;non sono credente;piccoli centri;agiatamente;Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;non credente;0,3
281;Donna;55-64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia senza figli;impiegato;a sinistra;Italiana;Si';Si, molto;Si, molto;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Bassa;BABY BOOMERS;non credente;0,39
282;Donna;oltre 64 anni;sud;da 10001 a 30000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a sinistra;Italiana;Non saprei;Si, abbastanza;Si, abbastanza;non sono credente;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;non credente;0,12
283;Uomo;45-54 anni;centro;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;a centro sinistra;Italiana;No;No, sarei contrario;No, sarei molto contrario;mai;altro;avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,26
284;Uomo;oltre 64 anni;centro;da 100001 a 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;No;Si, molto;No, sarei contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,71
285;Donna;55-64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;single vive con altre persone (amici, parenti);impiegato;a sinistra;Italiana;Si';Si, molto;Si, molto;mai;citta' medie;avverto difficolta';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,66
286;Uomo;55-64 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;dirigente;a sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;non credente;0,18
287;Uomo;55-64 anni;centro;oltre 250000 abitanti;laurea;vive da solo +55 anni;impiegato;a sinistra;Italiana;Si';Si, molto;Si, abbastanza;non sono credente;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;non credente;0,12
288;Uomo;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;Si, abbastanza;mai;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Bassa;SILENT;Cattolico non praticante;0,71
289;Uomo;oltre 64 anni;isole;da 30001 a 100000 abitanti;laurea;coppia con figli;disoccupato (ex-occupato);a sinistra;Italiana;Si';Si, molto;Si, molto;non sono credente;periferia;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;Privato;Alta;BABY BOOMERS;non credente;0,81
290;Uomo;oltre 64 anni;isole;oltre 250000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;No, sarei contrario;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,21
291;Donna;oltre 64 anni;centro;oltre 250000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;Si, molto;non sono credente;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;non credente;0,16
292;Donna;55-64 anni;centro;da 100001 a 250000 abitanti;no laurea;vive da solo +55 anni;impiegato;a destra;Italiana;Si';Si, molto;No, sarei molto contrario;preferisco non rispondere;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;;1,8
293;Donna;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;laurea;vive da solo +55 anni;casalinga;a centro sinistra;Italiana;No;Si, abbastanza;No, sarei contrario;la domenica;aree centrali di grandi citta';con tranquillita';Non occupato;Casalinghe;;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,25
294;Donna;35-44 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;insegnante di scuola media, elementare e materna;a sinistra;Italiana;Si';Si, molto;No, sarei molto contrario;mai;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico non praticante;0,21
