ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
189;Donna;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;No;No, sarei contrario;la domenica;citta' medie;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,66
190;Donna;oltre 64 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, molto;la domenica;periferia;con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,4
191;Uomo;25-34 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;vive con i genitori;impiegato;a centro sinistra;Italiana;Si';Si, molto;mai;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico non praticante;0,32
192;Donna;55-64 anni;nord-ovest;da 10001 a 30000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;a sinistra;Italiana;No;Si, abbastanza;mai;citta' medie;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,23
193;Uomo;45-54 anni;isole;da 100001 a 250000 abitanti;laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';No, sarei molto contrario;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;1,33
194;Donna;55-64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';No, sarei contrario;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;1,16
195;Donna;oltre 64 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei molto contrario;mai;piccoli centri;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;2,75
196;Uomo;45-54 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;Si';Si, molto;mai;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,31
197;Donna;35-44 anni;sud;da 10001 a 30000 abitanti;laurea;coppia con figli;insegnante di scuola media, elementare e materna;a sinistra;Italiana;Si';Si, molto;non sono credente;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;non credente;0,2
198;Donna;45-54 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;vive da solo 35-54 anni;disoccupato (ex-occupato);a centro destra;Italiana;Si';Si, abbastanza;una volta al mese;periferia;con tranquillita';Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,32
199;Donna;45-54 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';Si, molto;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,19
200;Donna;45-54 anni;centro;da 5001 a 10000 abitanti;no laurea;coppia con figli;impiegato;a centro destra;Italiana;No;Si, abbastanza;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,52
201;Donna;55-64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;impiegato;a centro sinistra;Italiana;Si';No, sarei contrario;mai;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,66
202;Uomo;45-54 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;operaio;a sinistra;Italiana;Non saprei;Si, abbastanza;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,59
203;Donna;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,5
204;Uomo;45-54 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,4
205;Donna;35-44 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;a sinistra;Italiana;No;No, sarei contrario;una volta al mese;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,15
206;Uomo;35-44 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;libero professionista;a centro destra;Italiana;No;No, sarei contrario;alcune volte l'anno;citta' medie;con tranquillita';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;4,4
207;Uomo;55-64 anni;sud;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a destra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;0,76
208;Donna;oltre 64 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;al centro;Italiana;No;No, sarei molto contrario;in occasione delle principali feste;piccoli centri;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,48
209;Uomo;oltre 64 anni;centro;da 10001 a 30000 abitanti;laurea;vive da solo 18-34 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;periferia;con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,31
210;Donna;35-44 anni;nord-est;da 10001 a 30000 abitanti;laurea;"genitore solo, vive con figlio/figli e genitori&nbsp;";impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,21
211;Donna;55-64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;disoccupato (ex-occupato);a centro destra;Italiana;Si';Si, molto;mai;periferia;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;Privato;Bassa;GENERAZIONE X;Cattolico non praticante;3,07
212;Uomo;oltre 64 anni;nord-ovest;da 100001 a 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;la domenica;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,71
213;Uomo;45-54 anni;centro;da 5001 a 10000 abitanti;no laurea;coppia con figli;operaio;a centro sinistra;Italiana;Si';Si, molto;la domenica;piccoli centri;avverto difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,68
214;Donna;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;no laurea;vive da solo +55 anni;quadro/direttivo/tecnico;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;aree centrali di grandi citta';agiatamente;Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,5
215;Donna;35-44 anni;isole;fino a 5000 abitanti;laurea;coppia senza figli;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;non sono credente;piccoli centri;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;non credente;0,26
216;Donna;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;genitore solo, con figli;casalinga;al centro;Italiana;Si';Si, molto;in occasione delle principali feste;altro;mi sento povero e non arrivo mai a fine mese;Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico non praticante;0,66
217;Donna;oltre 64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia senza figli;altro lavoratore autonomo/agente di commercio/rappresentante;a centro sinistra;Italiana;Non saprei;Si, molto;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;0,66
218;Uomo;45-54 anni;nord-ovest;da 100001 a 250000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a sinistra;Italiana;Si';Si, molto;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;non credente;0,62
219;Uomo;45-54 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;in nessuna area politica;Italiana;Non saprei;No, sarei molto contrario;mai;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,52
220;Uomo;45-54 anni;centro;da 30001 a 100000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,23
221;Uomo;oltre 64 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a destra;Italiana;Si';No, sarei molto contrario;alcune volte l'anno;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,59
222;Donna;oltre 64 anni;nord-est;oltre 250000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;al centro;Italiana;No;No, sarei molto contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,5
223;Donna;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Si, molto;non sono credente;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;non credente;0,5
224;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;libero professionista;a centro sinistra;Italiana;No;No, sarei contrario;mai;periferia;avverto difficolta';Occupato;Autonomi;;Alta;SILENT;Cattolico non praticante;0,31
225;Uomo;oltre 64 anni;centro;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;No;Non saprei;alcune volte l'anno;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;1,9
226;Donna;oltre 64 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;la domenica;piccoli centri;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Bassa;SILENT;Cattolico praticante (fino a 1 volta al mese);1,29
227;Uomo;oltre 64 anni;isole;da 100001 a 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Non saprei;No, sarei molto contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,43
228;Donna;oltre 64 anni;sud;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;preferisco non rispondere;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;;0,19
229;Uomo;55-64 anni;centro;da 10001 a 30000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, abbastanza;mai;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,16
230;Donna;45-54 anni;nord-est;oltre 250000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a sinistra;Italiana;Si';Si, abbastanza;sono di un'altra religione;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;altra religione;0,44
231;Donna;55-64 anni;sud;oltre 250000 abitanti;no laurea;genitore solo, con figli;artigiano/familiare coadiuvante;a sinistra;Italiana;No;Si, molto;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;non credente;0,64
232;Uomo;35-44 anni;sud;oltre 250000 abitanti;no laurea;vive da solo 35-54 anni;imprenditore;a destra;Italiana;Si';No, sarei molto contrario;in occasione delle principali feste;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;1,54
233;Donna;55-64 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';Si, molto;2/3 volte alla settimana;periferia;avverto difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,24
234;Donna;55-64 anni;nord-est;oltre 250000 abitanti;laurea;vive da solo +55 anni;quadro/direttivo/tecnico;in nessuna area politica;Italiana;No;No, sarei contrario;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;non credente;0,24
235;Donna;55-64 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;impiegato;a sinistra;Italiana;Si';Si, molto;mai;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,22
236;Uomo;oltre 64 anni;nord-est;fino a 5000 abitanti;laurea;coppia con figli;libero professionista;a centro sinistra;Italiana;No;Si, abbastanza;alcune volte l'anno;piccoli centri;con tranquillita';Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico non praticante;0,29
237;Donna;55-64 anni;isole;da 30001 a 100000 abitanti;laurea;coppia senza figli;casalinga;a centro destra;Estera;Si';Si, molto;mai;altro;avverto difficolta';Non occupato;Casalinghe;;Alta;BABY BOOMERS;Cattolico non praticante;0,69
238;Uomo;45-54 anni;centro;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;al centro;Italiana;Si';No, sarei contrario;la domenica;altro;con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,23
239;Uomo;oltre 64 anni;sud;da 100001 a 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;in occasione delle principali feste;periferia;avverto difficolta';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;0,75
240;Uomo;45-54 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia senza figli;impiegato;a destra;Italiana;Si';No, sarei contrario;la domenica;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,31
241;Uomo;55-64 anni;isole;da 5001 a 10000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;Si';No, sarei contrario;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,38
242;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia senza figli;libero professionista;a sinistra;Italiana;Si';Si, molto;non sono credente;periferia;con tranquillita';Occupato;Autonomi;;Alta;SILENT;non credente;0,17
243;Uomo;55-64 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia senza figli;altro (non occupato);in nessuna area politica;Italiana;Non saprei;Non saprei;mai;altro;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;;Bassa;BABY BOOMERS;Cattolico non praticante;1,04
244;Uomo;55-64 anni;isole;da 30001 a 100000 abitanti;laurea;vive da solo +55 anni;impiegato;in nessuna area politica;Italiana;Si';Si, abbastanza;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,36
245;Donna;55-64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;altro lavoratore autonomo/agente di commercio/rappresentante;a sinistra;Italiana;Si';Si, abbastanza;non sono credente;periferia;avverto difficolta';Occupato;Autonomi;;Alta;GENERAZIONE X;non credente;0,21
246;Donna;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;1,4
247;Uomo;55-64 anni;nord-ovest;oltre 250000 abitanti;laurea;vive da solo +55 anni;libero professionista;a centro destra;Italiana;Si';Si, molto;mai;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico non praticante;0,48
248;Uomo;oltre 64 anni;isole;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;2,83
249;Uomo;35-44 anni;nord-ovest;da 100001 a 250000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a centro destra;Italiana;No;No, sarei molto contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;non credente;1,74
250;Uomo;55-64 anni;centro;da 30001 a 100000 abitanti;laurea;coppia con figli;altro lavoratore dipendente;a centro sinistra;Italiana;Si';Si, abbastanza;non sono credente;citta' medie;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;non credente;0,24
251;Donna;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';No, sarei molto contrario;alcune volte l'anno;citta' medie;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,62
252;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;No;Si, molto;alcune volte l'anno;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,89
253;Uomo;45-54 anni;sud;oltre 250000 abitanti;no laurea;single vive con altre persone (amici, parenti);impiegato;a destra;Italiana;Si';Non saprei;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,33
254;Uomo;oltre 64 anni;isole;da 100001 a 250000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;2/3 volte alla settimana;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,23
255;Uomo;55-64 anni;centro;fino a 5000 abitanti;no laurea;coppia con figli;insegnante di scuola media, elementare e materna;a sinistra;Italiana;Si';Si, molto;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,7
256;Uomo;25-34 anni;centro;oltre 250000 abitanti;no laurea;coppia senza figli;impiegato;in nessuna area politica;Italiana;Si';Non saprei;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Media;MILLENNIALS;non credente;3,01
257;Uomo;45-54 anni;nord-est;da 30001 a 100000 abitanti;no laurea;vive con i genitori;libero professionista;a centro destra;Italiana;Si';Si, abbastanza;mai;periferia;con tranquillita';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;1,17
258;Uomo;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;altro/preferisco non rispondere;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei contrario;la domenica;periferia;con tranquillita';Non occupato;Pensionati;Privato;Bassa;SILENT;Cattolico praticante (fino a 1 volta al mese);0,84
259;Donna;45-54 anni;sud;da 5001 a 10000 abitanti;laurea;"genitore solo, vive con figlio/figli e genitori&nbsp;";impiegato;a sinistra;Italiana;Si';Si, molto;non sono credente;piccoli centri;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;non credente;0,18
260;Uomo;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;non sono credente;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;non credente;0,17
261;Uomo;45-54 anni;nord-est;da 30001 a 100000 abitanti;no laurea;vive da solo 35-54 anni;operaio;a centro destra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Occupato;Operai;Privato;Bassa;GENERAZIONE X;Cattolico non praticante;0,52
262;Uomo;45-54 anni;sud;da 10001 a 30000 abitanti;no laurea;genitore solo, con figli;altro lavoratore dipendente;in nessuna area politica;Italiana;Si';Si, abbastanza;alcune volte l'anno;altro;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;2,63
263;Uomo;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;1,59
264;Donna;45-54 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;casalinga;a centro destra;Italiana;Si';Si, abbastanza;la domenica;aree centrali di grandi citta';con tranquillita';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,22
265;Donna;oltre 64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a destra;Italiana;Si';Si, molto;mai;piccoli centri;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;1,07
266;Donna;35-44 anni;centro;oltre 250000 abitanti;no laurea;vive con i genitori;quadro/direttivo/tecnico;preferisco non rispondere;Italiana;Si';Si, molto;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Media;MILLENNIALS;non credente;1,88
267;Donna;35-44 anni;isole;da 10001 a 30000 abitanti;no laurea;vive con i genitori;operaio;a centro destra;Italiana;Si';Si, molto;2/3 volte alla settimana;periferia;avverto difficolta';Occupato;Operai;Privato;Media;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);3,1
268;Donna;oltre 64 anni;sud;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;preferisco non rispondere;Italiana;Si';Non saprei;in occasione delle principali feste;piccoli centri;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;2,29
269;Donna;55-64 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;genitore solo, con figli;casalinga;a centro sinistra;Italiana;Non saprei;Non saprei;mai;periferia;avverto difficolta';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico non praticante;0,7
270;Uomo;45-54 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;in nessuna area politica;Italiana;Si';Si, abbastanza;non sono credente;altro;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;non credente;0,59
271;Donna;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;"genitore solo, vive con figlio/figli e genitori&nbsp;";insegnante di scuola media, elementare e materna;a sinistra;Italiana;Non saprei;Si, abbastanza;non sono credente;altro;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;non credente;0,64
272;Uomo;oltre 64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Non saprei;Si, abbastanza;la domenica;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,32
273;Donna;55-64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;impiegato;a destra;Italiana;Si';Si, molto;mai;periferia;agiatamente;Occupato;Dipendenti;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;1,55
274;Uomo;45-54 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;No;Non saprei;la domenica;citta' medie;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2,3
275;Donna;45-54 anni;sud;da 100001 a 250000 abitanti;laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;0,77
276;Donna;55-64 anni;centro;oltre 250000 abitanti;no laurea;vive da solo +55 anni;impiegato;in nessuna area politica;Italiana;Si';Non saprei;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Bassa;SILENT;Cattolico praticante (fino a 1 volta al mese);0,63
277;Uomo;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';No, sarei contrario;mai;citta' medie;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,59
278;Uomo;oltre 64 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a destra;Italiana;No;Si, abbastanza;mai;citta' medie;avverto difficolta';Non occupato;Pensionati;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;0,85
279;Donna;45-54 anni;sud;da 10001 a 30000 abitanti;laurea;altro/preferisco non rispondere;casalinga;preferisco non rispondere;Italiana;Si';Non saprei;alcune volte l'anno;citta' medie;avverto difficolta';Non occupato;Casalinghe;;Alta;GENERAZIONE X;Cattolico non praticante;0,17
280;Donna;55-64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;casalinga;preferisco non rispondere;Italiana;Si';No, sarei contrario;la domenica;periferia;avverto difficolta';Non occupato;Casalinghe;;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,67
281;Donna;45-54 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia con figli;casalinga;a centro destra;Italiana;Si';Si, abbastanza;alcune volte l'anno;altro;con tranquillita';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico non praticante;1,4
282;Uomo;45-54 anni;sud;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;a sinistra;Italiana;Si';No, sarei contrario;alcune volte l'anno;periferia;mi sento povero e non arrivo mai a fine mese;Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;2,63
